what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1348263844786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263846299
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348263850053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263850133
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1348263850143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1348263850143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263855358
error,log,,,"Exception occurred while saving project preferences: /LunchList/.settings/org.eclipse.jdt.core.prefs.",1348263874020
error,log,,,"Exception occurred while saving project preferences: /LunchList/.settings/org.eclipse.jdt.core.prefs.",1348263874021
error,log,,,"Exception occurred while saving project preferences: /LunchList/.settings/org.eclipse.jdt.core.prefs.",1348263874023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263874075
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1348263874112
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1348263883161
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1348263883226
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1348263883425
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1348263883479
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1348263883520
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1348263883725
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1348263883752
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1348263883816
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1348263883842
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1348263884257
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1348263884424
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1348263885361
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1348263885620
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1348263885687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263886119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263888088
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348263899212
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348263902908
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1348263903129
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1348263903192
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348263903222
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348263903712
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348263905375
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348263912542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348263913487
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1348263914339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263915189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263919656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263919885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263921330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348263923177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264209291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264213757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264214842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264215153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264238538
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348264238556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264242729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264262893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264267128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264278605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264297460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264305802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264309455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264345876
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348264345938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264390772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264424837
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348264426353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264463849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264467296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264470747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264474929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264476758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264481624
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1348264481630
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348264481686
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348264484490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264487576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348264492620
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1348264499239
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348264513692
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348264516795
