what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1348333166370
processors,sysinfo,,,"4",1348333166370
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348333166370
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1348333166370
java.specification.name,sysinfo,,,"Java Platform API Specification",1348333166370
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348333166370
java.specification.version,sysinfo,,,"1.7",1348333166370
java.vendor,sysinfo,,,"Oracle Corporation",1348333166370
java.version,sysinfo,,,"1.7.0_02",1348333166370
java.vm.info,sysinfo,,,"mixed mode",1348333166370
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348333166370
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348333166370
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348333166370
java.vm.specification.version,sysinfo,,,"1.7",1348333166370
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348333166370
java.vm.version,sysinfo,,,"22.0-b10",1348333166370
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1348333166417
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1348333166557
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1348333166620
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1348333166947
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348333167056
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1348333167197
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1348333168164
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348333168164
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348333168336
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1348333168351
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1348333168788
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348333168850
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1348333169428
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1348333169693
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1348333169708
